candidate_id,family_name,working_set_bytes,median_latency_ms,p95_latency_ms,estimated_bandwidth_gb_per_sec,cache_locality_tier,cache_hit_pct,dram_traffic_pct,single_cpu_guesses_per_sec,multicore_16c_guesses_per_sec,gpu_simulated_parallel_guesses_per_sec,ram_reduction_attacker_scaling_factor,status,main_weakness
candidate-001,Family A — Low-Capacity Memory Churn,67108864,413.6542,416.44399999999996,0.2415914342887244,DRAM Memory Bus (>16MB),10.0,90.0,1.373419470247059,16.481033642964707,421.9144612598965,1.0,REQUIRES_MORE_MEASUREMENT,High churn working set needs DRAM bus validation
candidate-001,Family A — Low-Capacity Memory Churn,33554432,206.56840000000003,232.6592,0.23287231136108555,DRAM Memory Bus (>16MB),10.0,90.0,2.6070601775812596,31.284722130975116,1601.777773105926,3.796451461565906,REQUIRES_MORE_MEASUREMENT,High churn working set needs DRAM bus validation
candidate-001,Family A — Low-Capacity Memory Churn,16777216,103.3933,103.765,0.2422298008929172,L3 Cache Hit (256KB-16MB),80.0,20.0,4.413417764486682,52.961013173840186,5423.207749001235,12.853808643597489,FAILED,Fits in L3 cache without forcing DRAM memory bus traffic
candidate-001,Family A — Low-Capacity Memory Churn,8388608,57.1613,58.7303,0.2241789758858746,L3 Cache Hit (256KB-16MB),80.0,20.0,10.790526021741961,129.48631226090353,26518.796751033045,62.85349089918405,FAILED,Fits in L3 cache without forcing DRAM memory bus traffic
candidate-001,Family A — Low-Capacity Memory Churn,4194304,26.189400000000003,32.5015,0.2263862809189327,L3 Cache Hit (256KB-16MB),80.0,20.0,23.728737627361625,284.7448515283395,116631.49118600786,276.43397393331736,FAILED,Fits in L3 cache without forcing DRAM memory bus traffic
candidate-002,Family B — Rotating Working Set,67108864,86.6208,103.0552,1.150358002914087,DRAM Memory Bus (>16MB),10.0,90.0,1.2087960471634311,14.505552565961173,371.3421456886061,1.0,REQUIRES_MORE_MEASUREMENT,High churn working set needs DRAM bus validation
candidate-002,Family B — Rotating Working Set,33554432,86.702,126.9861,0.582485409322982,DRAM Memory Bus (>16MB),10.0,90.0,2.4213819884667833,29.0565838616014,1487.6970937139918,4.006270527023668,REQUIRES_MORE_MEASUREMENT,High churn working set needs DRAM bus validation
candidate-002,Family B — Rotating Working Set,16777216,57.7755,73.6024,0.4431458105704102,L3 Cache Hit (256KB-16MB),80.0,20.0,4.723945297015793,56.68734356418952,5804.783980973007,15.631901868312804,FAILED,Fits in L3 cache without forcing DRAM memory bus traffic
candidate-002,Family B — Rotating Working Set,8388608,19.1116,30.096899999999998,0.580233801729004,L3 Cache Hit (256KB-16MB),80.0,20.0,8.660936729501417,103.931240754017,21285.118106422684,57.31942456182069,FAILED,Fits in L3 cache without forcing DRAM memory bus traffic
candidate-002,Family B — Rotating Working Set,4194304,15.3422,19.3702,0.4039685874026436,L3 Cache Hit (256KB-16MB),80.0,20.0,17.289123523042047,207.46948227650455,84979.49994045627,228.84420992094167,FAILED,Fits in L3 cache without forcing DRAM memory bus traffic
candidate-003,Family C — Sequential Dependency Chain,67108864,0.053399999999999996,0.054599999999999996,1933.4880123743233,DRAM Memory Bus (>16MB),10.0,90.0,8037.551440329218,96450.61728395062,2469135.802469136,1.0,FAILED,Attacker throughput scales proportionally with RAM reduction
candidate-003,Family C — Sequential Dependency Chain,33554432,0.048900000000000006,0.0522,1012.9659643435979,DRAM Memory Bus (>16MB),10.0,90.0,7160.4513948559315,85925.41673827117,4399381.336999484,1.781749441484791,FAILED,Attacker throughput scales proportionally with RAM reduction
candidate-003,Family C — Sequential Dependency Chain,16777216,0.045399999999999996,0.0504,536.9415807560138,L3 Cache Hit (256KB-16MB),80.0,20.0,6482.057664384982,77784.69197261978,7965152.457996266,3.2258867454884874,FAILED,Attacker throughput scales proportionally with RAM reduction
candidate-003,Family C — Sequential Dependency Chain,8388608,0.0557,0.1643,160.79238487265243,L3 Cache Hit (256KB-16MB),80.0,20.0,7974.481658692185,95693.77990430623,19598086.124401916,7.937224880382774,FAILED,Attacker throughput scales proportionally with RAM reduction
