candidate_id,threat_model,attacker_qps,security_rating
candidate-e1,DB-Only Compromise (Secret Intact),5.951979689750202,HIGH — Server secret blocks offline cracking
candidate-e1,Full Server Compromise (Secret Stolen),5.951979689750202,MEDIUM — Bounded by memory bus bandwidth
candidate-e2,DB-Only Compromise (Secret Intact),0.2782188442942785,HIGH — Server secret blocks offline cracking
candidate-e2,Full Server Compromise (Secret Stolen),5.56437688588557,MEDIUM — Bounded by memory bus bandwidth
candidate-e3,DB-Only Compromise (Secret Intact),6.108024543068763,HIGH — Server secret blocks offline cracking
candidate-e3,Full Server Compromise (Secret Stolen),6.108024543068763,MEDIUM — Bounded by memory bus bandwidth
candidate-e4,DB-Only Compromise (Secret Intact),16.74719836118616,HIGH — Server secret blocks offline cracking
candidate-e4,Full Server Compromise (Secret Stolen),334.9439672237232,MEDIUM — Bounded by memory bus bandwidth
candidate-e5,DB-Only Compromise (Secret Intact),5.877241055194687,HIGH — Server secret blocks offline cracking
candidate-e5,Full Server Compromise (Secret Stolen),5.877241055194687,MEDIUM — Bounded by memory bus bandwidth
candidate-e6,DB-Only Compromise (Secret Intact),5.871327830850146,HIGH — Server secret blocks offline cracking
candidate-e6,Full Server Compromise (Secret Stolen),5.871327830850146,MEDIUM — Bounded by memory bus bandwidth
